"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"x0av-tqc3-stnh";"Northern";"Bombali";"Bombali Sebora";"MAKAMA";"BOREHOLE";"1";"PHU";"8.8639926";"-12.056319";"126.83000183105469";"New borehole with submersible pump";6,5;NA;0,49;0,05;0,18;30;0,05;16;100;0,02;NA;0;439;31,3;"05077";"Low Risk / Safe";"0";"2.87";1
"arvg-h3wg-jx18";"Eastern";"Kenema";"Nongowa";"GANGAMA COMMUNITY";"GANGAMA COMMUNITY WATER POINT";NA;"Community water point";"8.007018333333333";"-11.043463333333333";"188.9";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,02;11,7;0,05;10,4;13;0,01;NA;0;4;30,4;"03953";"Low Risk / Safe";"0";"2.87";1
"ermk-0ka1-h85a";"Southern";"Bonthe";"Yawbeko";"TALIA";"CHC";NA;"PHU";"7.438538333333335";"-12.129831666666666";"9.8";"Rehabilitated hand dug well with submersive pump";6,5;NA;0,06;0,05;0,09;1,9;0,05;0,7;5;0,01;20;0;32,6;16;"03506";"Intermediate Risk / Probably Safe";"1.5";"7.81";3
"mh32-frcv-fqet";"Southern";"Moyamba";"Fakunya";"NJAGBAHUN";"MCHP NJAGBAHUN";"3";"PHU";"8.26145548";"-12.28366014";"87.0";"New borehole with submersible pump";7,27;NA;0,07;0,05;0,03;1;0,12;5,8;100;0,01;NA;0;147;323;"03675";"Low Risk / Safe";"0";"2.87";3
"5rnc-s3q6-9are";"Eastern";"Kenema";"Nongowa";"NIAHUN BUIIMA MCHP";"NIAHUN BUIIMA MCHP WATER POINT";NA;"PHU";"7.989893333333333";"-11.101608333333335";"155.6";"New borehole with submersible pump";6,5;NA;0,02;0,05;0,03;1,8;0,05;0,6;17;0,01;NA;0;32;30,1;"03955";"Low Risk / Safe";"0";"2.87";2
"1rjr-es0t-anq7";"Eastern";"Kenema";"Nongowa";"NGANYAHUN BARVUHUN COMMUNITY";"NGANYAHUN BARVUHUN COMMUNITY WATER POINT";NA;"Community water point";"8.008305";"-11.068786666666664";"243.7";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,02;11,7;0,05;6,3;39;0,01;NA;0;19;29,6;"03951";"Low Risk / Safe";"0";"2.87";1
"rr5c-v2nv-2ars";"Southern";"Pujehun";"Yakemu Kpukumu";"KARLU";"MM JSS SCHOOL KARLU";NA;"School";"7.240778333333333";"-11.76069";"126.0";"Rehabilitated hand dug well - handpump";6,5;NA;0,1;0,06;0,08;1;0,07;0,6;5;0,01;15;0;13;33,5;"03803";"Low Risk / Safe";"0";"2.87";4
"6jq4-7kgv-hcgg";"Eastern";"Kenema";"Nongowa";"JORU COMMUNITY";"JORU COMMUNITY WATER POINT";NA;"Community water point";"8.021678333333334";"-11.080725";"146.7";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,02;7,7;0,05;2,5;27;0,01;NA;0;91;29,2;"03954";"Low Risk / Safe";"0";"2.87";1
"f1p4-a1bu-qpd6";"Northern";"Koinadugu";"Kasunko KaKellian";"KAGBASIA";"KAGBASIA PHU WATER POINT";"7";"PHU";"9.32558";"-11.778468333333334";"408.9";"Rehabilitated hand dug well - handpump";6,5;NA;0,04;0,05;0,02;1;0,05;0,7;5;0,01;NA;0;122;241;"02300";"High Risk / Possibly Unsafe";"13.6";"83.06";1
"nd66-j4en-cpm3";"Western";"Western Area Rur";"Waterloo Rural";"MASHAWURRAY";"MASHAWURAY WATER POINT";"1";"Community water point";"8.28553020836387";"-12.958496113067193";"67.5408381405897";"New borehole - handpump";6,5;NA;0,19;0,05;0,18;1;0,05;5,6;100;0,01;0,5;16;47,3;30,3;"02051";"Very High Risk / Unsafe";">100";"9435.1";0
