"region","functionality_main","water_months","seasonality","dryness","dryness_duration","puits_safety","latitude","longitude","photo"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29085795,-0.02167491,"https://akvoflow-87.s3.amazonaws.com/images/31f4360c-3850-4dc7-99f3-9a41d4465558.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29064811,-0.04702327,"https://akvoflow-87.s3.amazonaws.com/images/89e4b86b-84ae-4d17-86b1-b0d63b9f99eb.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29104704,-0.04736162,"https://akvoflow-87.s3.amazonaws.com/images/dcc4e3f4-3ad1-464e-b7ae-7dca9fbc8424.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.28940821,-0.0264575,"https://akvoflow-87.s3.amazonaws.com/images/f8eb7350-edda-402c-af8a-74d4c0bbcc96.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29181559,-0.0470602,"https://akvoflow-87.s3.amazonaws.com/images/db7215cb-babb-4e2e-bfc0-aea71aad6958.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29280482,-0.04670348,"https://akvoflow-87.s3.amazonaws.com/images/e907c094-e249-4917-8e71-97c388da5214.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29446923,-0.04509924,"https://akvoflow-87.s3.amazonaws.com/images/9b85b078-47fa-4274-bdea-4b02f6dc13f7.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.18979644,-0.03126381,"https://akvoflow-87.s3.amazonaws.com/images/4097520f-816c-4ad5-b06d-dcde4e2c3135.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.66566463,0.50177044,"https://akvoflow-87.s3.amazonaws.com/images/0674cde3-4650-45f7-b23b-3c714c5b6da4.jpg"
"Gao","non utilisé",NA,"No",NA,NA,"Non",16.19091037,-0.02314817,"https://akvoflow-87.s3.amazonaws.com/images/c0b2f892-fc48-4f3b-b1ec-c7171cb8b5d0.jpg"
